contract_id,filename,num_qas,split,char_count
2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement,2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement.txt,52,train,29454
ABILITYINC_06_15_2020-EX-4.25-SERVICES AGREEMENT,ABILITYINC_06_15_2020-EX-4.25-SERVICES AGREEMENT.txt,48,train,26346
ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT,ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT.txt,41,test,13038
ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT,ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT.txt,58,train,89484
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT.txt,51,train,24632
ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT,ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT.txt,79,train,101167
"ADIANUTRITION,INC_04_01_2005-EX-10.D2-RESELLER AGREEMENT","ADIANUTRITION,INC_04_01_2005-EX-10.D2-RESELLER AGREEMENT.txt",47,train,26347
"ADMA BioManufacturing, LLC -  Amendment #3 to Manufacturing Agreement ","ADMA BioManufacturing, LLC - Amendment No3 to Manufacturing Agreement.txt",48,train,15312
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT","ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT.txt",46,train,12020
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT(1)","ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT(1).txt",46,train,12020
AFSALABANCORPINC_08_01_1996-EX-1.1-AGENCY AGREEMENT,AFSALABANCORPINC_08_01_1996-EX-1.1-AGENCY AGREEMENT.txt,41,test,121559
AIRSPANNETWORKSINC_04_11_2000-EX-10.5-Distributor Agreement,AIRSPANNETWORKSINC_04_11_2000-EX-10.5-Distributor Agreement.txt,41,test,70444
AIRTECHINTERNATIONALGROUPINC_05_08_2000-EX-10.4-FRANCHISE AGREEMENT,AIRTECHINTERNATIONALGROUPINC_05_08_2000-EX-10.4-FRANCHISE AGREEMENT.txt,63,train,73869
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT,ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,53,train,143307
ALCOSTORESINC_12_14_2005-EX-10.26-AGENCY AGREEMENT,ALCOSTORESINC_12_14_2005-EX-10.26-AGENCY AGREEMENT.txt,41,test,11355
ALLIANCEBANCORPINCOFPENNSYLVANIA_10_18_2006-EX-1.2-AGENCY AGREEMENT,ALLIANCEBANCORPINCOFPENNSYLVANIA_10_18_2006-EX-1.2-AGENCY AGREEMENT.txt,56,train,130256
ALLISONTRANSMISSIONHOLDINGSINC_12_15_2014-EX-99.1-COOPERATION AGREEMENT,ALLISONTRANSMISSIONHOLDINGSINC_12_15_2014-EX-99.1-COOPERATION AGREEMENT.txt,51,train,32826
AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AGREEMENT,AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AGREEMENT.txt,41,test,39727
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT.txt,51,train,23999
AMERICASSHOPPINGMALLINC_12_10_1999-EX-10.2-SITE DEVELOPMENT AND HOSTING AGREEMENT,AMERICASSHOPPINGMALLINC_12_10_1999-EX-10.2-SITE DEVELOPMENT AND HOSTING AGREEMENT.txt,46,train,19351
ANIXABIOSCIENCESINC_06_09_2020-EX-10.1-COLLABORATION AGREEMENT,ANIXABIOSCIENCESINC_06_09_2020-EX-10.1-COLLABORATION AGREEMENT.txt,53,train,40519
"ARMSTRONGFLOORING,INC_01_07_2019-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT","ARMSTRONGFLOORING,INC_01_07_2019-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT.txt",75,train,69759
"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC.","ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC.txt",53,train,24999
ASIANDRAGONGROUPINC_08_11_2005-EX-10.5-Reseller Agreement,ASIANDRAGONGROUPINC_08_11_2005-EX-10.5-Reseller Agreement.txt,48,train,45002
ASPIRITYHOLDINGSLLC_05_07_2012-EX-10.6-OUTSOURCING AGREEMENT,ASPIRITYHOLDINGSLLC_05_07_2012-EX-10.6-OUTSOURCING AGREEMENT.txt,54,train,67111
